f2h_entity_id,f2hname,f2h_price,f2h_weight
1892,Queen Fish / Leather Skin Fish - Fillet 250g Pack,245.8500,1.0000
1901,Big Eye Snapper - Whole Cleaned (Skinless),440.3000,0.5000
1909,Premium Tender & Antibiotic Free Tandoori Chicken (Skinless),259.0000,0.5000
1910,Premium Tender & Antibiotic Free Tandoori Chicken (Skinless) - Whole (550g to 700g in size),259.0000,0.7000
1937,Fresh Indian Baasa / Pangasius  - Fillets,462.0000,0.5000
1945,Tilapia / Jalebi Fish (Large),278.0000,0.5000
1946,Tilapia / Jalebi Fish (Large) - Whole,298.0000,0.5000
1947,Tilapia / Jalebi Fish (Large) - Whole Cleaned,414.2200,0.5000
1948,Tilapia / Jalebi Fish (Large) - Fresh Fillets 250g Pack,260.7500,1.0000
1950,Tilapia / Jalebi Fish (Large) - Curry Cut (May include head piece),414.2200,0.5000
1962,Yummy Fish Cutlets - Pack of 3,125.0000,1.0000
1966,Indian Prawns / Venami - Headless,1161.1600,0.5000
1967,Indian Prawns / Venami - PUD,1224.9600,0.5000
1971,Yummy Fish Cutlets - Pack of 3 (Mackerel / Ayala - 130g to 160g),125.0000,1.0000
1972,Rohu - Bengali Cut (Headless),331.0800,0.5000
1974,Catla - Bengali Cut (Headless),366.3000,0.5000
1983,Malabar Chicken Samosas - Pack of 4,125.0000,1.0000
1986,Yummy Fish Cutlets - Pack of 3 (Reefcod Fish - 130g to 160g),125.0000,1.0000
1987,Silver Croaker / Kora (Large),378.0000,0.5000
1988,Silver Croaker / Kora (Large) - Whole,378.0000,0.8000
1989,Silver Croaker / Kora (Large) - Whole Cleaned,525.4200,0.5000
2012,Leather Jacket - Fillet 250g Pack,245.8500,1.0000
2016,Preservative Free Fried Anchovy / Natholi Pickle - 100g pack,145.0000,1.0000
2020,Yummy Tuna Fish Cutlets - Pack of 3 (130g to 160g),125.0000,1.0000
2021,Yummy Mahi Mahi Fish Cutlets - Pack of 3 (130g to 160g),125.0000,1.0000
2024,Preservative Free Malabar Sardine / Mathi Pickle - 200g pack,149.0000,1.0000
2037,Preservative Free Malabar Mackerel / Ayala / Bangda Pickle - 200g pack,149.0000,1.0000
2052,Yummy Chicken Cutlets - Pack of 3 (130g to 160g),125.0000,1.0000
2065,Preservative Free Malabar Tuna Pickle - 100g pack,125.0000,1.0000
2071,Preservative Free Malabar Seer Fish / Neymeen / Surumai / Vanjaram / Anjal Pickle - 100g pack,149.0000,1.0000
2115,Preservative Free Malabar Medium Prawns Pickle - 100g pack,175.0000,1.0000
2124,Preservative Free Malabar Squid Ring Pickle - 100g pack,149.0000,1.0000
2127,Cucumber,39.0000,0.5000
